,Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status
70416,20110725X65622,Accident,2011,NJ,United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,AERO SAFETY TRAINING LTD,0.0,0.0,0.0,2.0,VMC,"The pilots improper touchdown point, resulting in a runway overrun and collision with a guardrail."
70419,20110727X11936,Accident,2011,IA,United States,Non-Fatal,Substantial,Airplane,Cessna,A188B,1.0,Air Advantage Inc,0.0,0.0,0.0,1.0,VMC,The loss of engine power due to fuel starvation and the pilot's inadequate fuel management.
70420,20110728X12829,Accident,2011,WI,United States,Non-Fatal,Substantial,Airplane,Cessna,172B,1.0,Pilot,0.0,0.0,0.0,2.0,VMC,The total loss of engine power during climb after takeoff for reasons that could not be determined because postaccident examination did not reveal any anomalies that would have precluded normal operation.
70421,20110729X32439,Accident,2011,NE,United States,Non-Fatal,Substantial,Airplane,Piper,PA-36-375,1.0,JOSEPH M SIDES,0.0,0.0,0.0,1.0,VMC,The pilot's failure to reset the engine's mixture control lever to the full rich position prior to takeoff.
70422,20110802X71056,Accident,2011,AZ,United States,Non-Fatal,Substantial,Airplane,Cessna,175,1.0,WALLER WILLIAM C,0.0,0.0,0.0,2.0,VMC,The pilots improper flare and inadequate recovery from a bounced landing which resulted in a nose gear collapse.
70429,20110724X93017,Accident,2011,IL,United States,Fatal,Substantial,Airplane,Piper,PA 46-350P,1.0,,3.0,0.0,0.0,0.0,VMC,The pilot did not maintain airplane control during takeoff with approaching thunderstorms. Contributing to the accident was the pilot's decision to depart into adverse weather conditions.
70430,20110725X34708,Accident,2011,GA,United States,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,,0.0,0.0,0.0,2.0,VMC,"The CFI and pilot's improper fuel management, which resulted in a loss of engine power due to fuel exhaustion."
70431,20110725X82657,Accident,2011,OR,United States,Non-Fatal,Substantial,Airplane,Cessna,182B,1.0,William Terry Keller,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain adequate clearance between the airplane and ground obstacles.
70432,20110726X05036,Accident,2011,AK,United States,Fatal,Substantial,Airplane,Cessna,182P,1.0,CHARLES WOODROW LUCK JR,2.0,0.0,0.0,0.0,VMC,"The pilot's continued visual flight into instrument meteorological conditions, which resulted in an in-flight collision with mountainous terrain. Contributing to the accident was the pilot's self-induced pressure to reach his destination."
70434,20110727X21641,Accident,2011,MI,United States,Non-Fatal,Substantial,Airplane,Cessna,180D,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's failure to retract the landing gear before a water landing. Contributing to the accident was the pilot's failure to use a checklist.
70435,20110804X03457,Accident,2011,MT,United States,Non-Fatal,Substantial,Airplane,Piper,J5A,1.0,,0.0,0.0,0.0,2.0,VMC,Failure of the left main landing gear strut during the landing roll due to a preexisting crack.
70436,20110804X74622,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Aeronca,7AC,1.0,GRAY BENJAMIN L,0.0,0.0,0.0,2.0,VMC,"The separation of the right main landing gear oleo strut assembly, resulting in the collapse of the main landing gear during the landing roll."
70437,20110804X95718,Accident,2011,OR,United States,Non-Fatal,Substantial,Airplane,Cessna,R172K,1.0,Paul Lawson,0.0,0.0,0.0,2.0,VMC,The pilot's improper flare which resulted in a hard landing.
70438,20110725X05350,Accident,2011,NY,United States,Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,N1279T LLC,1.0,0.0,0.0,0.0,VMC,"The pilot's continued visual flight into instrument meteorological conditions, which resulted in a collision with trees and rising terrain while attempting to reverse course. Contributing to the accident was the pilot's failure to obtain a preflight weather briefing."
70441,20110725X94139,Accident,2011,WI,United States,Fatal,Substantial,Airplane,Piper,J3L-65,1.0,Steven A. Staples,2.0,0.0,0.0,0.0,VMC,The pilots inability to maintain airplane control while maneuvering for reasons that could not be determined from the available evidence.
70443,20110725X95957,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Cessna,185,1.0,JOHANNES SCOTT,0.0,0.0,0.0,4.0,VMC,"The loss of engine power for an undetermined reason, resulting in the ditching and sinking of the airplane in ocean waters."
70449,20110726X00925,Accident,2011,MS,United States,Fatal,Substantial,Airplane,Air Tractor Inc,AT-602,1.0,STURDIVANT BROTHERS FLYING SERVICE INC,1.0,0.0,0.0,0.0,IMC,"The pilot's improper decision to conduct a visual flight rules aerial application flight in instrument meteorological conditions, which resulted in an in flight collision with the ground while maneuvering."
70450,20110726X03548,Accident,2011,ND,United States,Fatal,Substantial,Airplane,Beech,A36,1.0,"Bonanza Air, Inc.",1.0,0.0,1.0,0.0,VMC,"The pilot's improper fuel management, which resulted in fuel starvation and a partial loss of engine power while maneuvering at a low altitude."
70451,20110726X84120,Accident,2011,VA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Wings of Carolina Flying Club,0.0,1.0,0.0,0.0,IMC,"The pilot's inadequate preflight planning and fuel management, which resulted in a total loss of engine power due to fuel exhaustion."
70452,20110727X72110,Accident,2011,MI,United States,Non-Fatal,Substantial,Airplane,Cessna,150F,1.0,TRAPP MICHAEL W,0.0,0.0,1.0,0.0,VMC,"The pilot's delay in using carburetor heat while operating in carburetor icing conditions, resulting in carburetor ice and subsequent partial loss of engine power."
70459,20110728X45353,Accident,2011,NY,United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,PETZOLD MILTON H,0.0,0.0,1.0,0.0,VMC,"The pilot's inadequate fuel planning and management, which resulted in fuel starvation and a total loss of engine power during final approach."
70463,20110728X22321,Accident,2011,WI,United States,Non-Fatal,Substantial,Airplane,Cessna,195,1.0,Jim Reiher,0.0,0.0,0.0,3.0,VMC,The failure of the left brake which resulted in a ground-loop.
70466,20110730X24508,Accident,2011,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,ATP AIRCRAFT 2 LLC,0.0,1.0,0.0,1.0,VMC,"The flight instructor's misjudgment of the airplane's position and airspeed relative to the runway while returning to the airport after a partial loss of engine power. Contributing to the accident was the separation of the engine's No. 3 cylinder exhaust valve head from the stem, and the operators exceedence of the engine manufacturer's recommended time between overhauls."
70478,20110730X10548,Accident,2011,TN,United States,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,,0.0,0.0,0.0,1.0,VMC,The loss of engine power due to fuel exhaustion as a result of poor planning.
70482,20110731X10847,Accident,2011,AK,United States,Fatal,Destroyed,Airplane,Cessna,180B,1.0,CARLSON COREY B,4.0,0.0,0.0,1.0,VMC,"The inadequate visual lookout and failure to see and avoid by the pilots of both airplanes while maneuvering to land, which resulted in a midair collision. Contributing to the accident was the lack of standardized, unequivocal procedures concerning common traffic advisory frequencies used in the area."
70483,20110731X44955,Accident,2011,OR,United States,Non-Fatal,Substantial,Airplane,Cessna,170A,1.0,James Greene,0.0,0.0,0.0,3.0,VMC,"The certified flight instructor's inadequate oversight of his student, and delayed recovery efforts following the student's loss of directional control during landing rollout."
70487,20110803X73136,Accident,2011,CA,United States,Non-Fatal,Substantial,Airplane,Beech,76,2.0,"California Flight Center, Inc.",0.0,1.0,1.0,2.0,VMC,"The pilots failure to maintain airplane control and the resulting encounter with an aerodynamic stall. Also causal were the pilots inadequate preflight planning and preflight inspection, his failure to ensure the pitch trim was positioned correctly for takeoff, his decision to operate the airplane over maximum allowable gross weight, and his attempt to operate the airplane with a center of gravity aft of the rear CG limit."
70489,20110731X45211,Accident,2011,GA,United States,Fatal,Substantial,Airplane,Beech,G35,1.0,PELISSIER ROBERT W,1.0,0.0,0.0,0.0,VMC,"The pilots sustained flight at airspeeds in excess of the airplane's never exceed speed during a steep descent, which resulted in a subsequent in-flight structural failure due to overstress."
70500,20110802X82938,Accident,2011,WI,United States,Non-Fatal,Substantial,Airplane,Bellanca,14-13,1.0,CROSS RICHARD G,0.0,0.0,2.0,0.0,VMC,"The pilots improper preflight planning and his failure to gain proper airspeed during takeoff from a grass airstrip resulting in a stall, the loss of control, and subsequent impact with the trees.  Contributing to the accident was the pilot operating the airplane at near maximum gross weight and the high density altitude."
70501,20110803X40806,Accident,2011,WY,United States,Non-Fatal,Substantial,Airplane,Cessna,162,1.0,The Jerome L. Quint Living Trust,0.0,0.0,0.0,2.0,VMC,The pilot's decision to attempt a takeoff at a density altitude that was outside the performance envelope of the airplane. Also causal was the flight's likely encounter with a sudden tailwind gust.
70503,20110804X94823,Accident,2011,"n,",United States,Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,GULF AIR CENTER INC,1.0,0.0,0.0,0.0,VMC,"The non-instrumented rated pilots flight into instrument meteorological conditions for undetermined reasons, resulting in an in-flight loss of control, uncontrolled descent, and collision with the water."
70505,20110802X94413,Accident,2011,ID,United States,Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Richard Jennings,0.0,0.0,1.0,0.0,VMC,A total loss of engine power due to carburetor icing because the pilot did not use carburetor heat.
70507,20110803X74307,Accident,2011,UT,United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Leading Edge Aviation,0.0,1.0,0.0,0.0,VMC,"The failure of the maintenance technicians who installed the engine to properly tighten the fuel injection servo to a spider supply line, which caused a loss of engine power due to fuel starvation."
70508,20110803X84201,Accident,2011,NJ,United States,Non-Fatal,Substantial,Airplane,Bellanca,8GCBC,1.0,,0.0,0.0,1.0,0.0,VMC,"The pilots failure to maintain adequate airspeed while maneuvering near the ground, which resulted in an aerodynamic stall."
70510,20110803X24247,Accident,2011,WA,United States,Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,,1.0,0.0,0.0,0.0,VMC,The pilot's failure to maintain control of the airplane while maneuvering in the traffic pattern.
70511,20110803X44121,Accident,2011,FL,United States,Non-Fatal,Substantial,Airplane,Piper,PA-30,2.0,Erett Jay Bozarth,0.0,4.0,1.0,0.0,VMC,"The pilot's improper rotation during takeoff, resulting in a stall and subsequent collision with the ground."
70515,20110815X12105,Accident,2011,ND,United States,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-301,1.0,"Pioneer AgViation, Inc.",0.0,0.0,0.0,1.0,VMC,"The pilot's failure to maintain directional control during the crosswind landing, resulting in a ground loop."
70518,20110804X61104,Accident,2011,WA,United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,John Simon,0.0,0.0,0.0,2.0,VMC,A partial loss of engine power during takeoff due to water contamination in the fuel system.
70520,20110811X23035,Accident,2011,WI,United States,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-301,1.0,Kafer Stone Applicator Service Inc.,0.0,0.0,0.0,1.0,VMC,A total  loss of engine power during initial climb for undetermined reasons.
70521,20110808X02225,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Cessna,T210N,1.0,MUY FLYING LLC,0.0,3.0,2.0,0.0,VMC,A loss of engine power for reasons that could not be determined because postaccident examination of the engine did not reveal any anomalies that would have precluded normal operation.
70522,20110805X22610,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Piper,PA-18A,1.0,Darrell Williams,0.0,2.0,0.0,0.0,VMC,"The pilot's improper fuel management, which resulted in a loss of engine power due to fuel exhaustion."
70525,20110806X02959,Accident,2011,AL,United States,Non-Fatal,Substantial,Airplane,Cessna,172K,1.0,Birmingham Flight Center,0.0,0.0,0.0,2.0,VMC,A stuck exhaust-valve on the number one cylinder which resulted in a loss of engine power.
70526,20110810X70754,Accident,2011,NM,United States,Non-Fatal,Substantial,Airplane,Cessna,182S,1.0,PHOENIX FLYERS INC,0.0,0.0,0.0,3.0,VMC,"The pilot's loss of aircraft control due to insufficient aircraft performance during takeoff, with a heavy gross weight and a high density altitude."
70534,20110818X95615,Accident,2011,NC,United States,Non-Fatal,Substantial,Airplane,Piper,PA-46-310P,1.0,MARKING AVIATION LLC,0.0,0.0,0.0,2.0,VMC,"The improper securing of a B nut on the power turbine control (Py) line by unknown maintenance personnel, which resulted in a total loss of engine power. Contributing to the accident was the pilot's failure to use the manual fuel override switch."
70536,20110807X61429,Accident,2011,VA,United States,Fatal,Substantial,Airplane,Maule,M-7-235,1.0,,2.0,0.0,0.0,0.0,VMC,"The pilot's inadequate airspeed and excessive bank angle while maneuvering for landing, which resulted in an aerodynamic stall."
70538,20110809X03303,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,,0.0,0.0,0.0,2.0,VMC,A sudden loss of engine thrust due to the separation of a propeller blade in cruise flight due to high cycle fatigue.
70539,20110809X45425,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Scenic Mountain Air Inc,0.0,0.0,0.0,1.0,VMC,The pilot's inadequate directional control of the airplane during takeoff. Contributing to the accident was the pilots fatigue.
70540,20110809X43054,Accident,2011,OH,United States,Fatal,Substantial,Airplane,Piper,PA-23,2.0,,3.0,0.0,0.0,0.0,VMC,The pilots failure to maintain clearance with terrain during the landing approach in night conditions and fog. Contributing to the accident was the pilots inadequate preflight planning.
70542,20110810X34101,Accident,2011,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Florida Flyers,0.0,0.0,0.0,1.0,VMC,The student pilot's loss of directional control while attempting to close the airplane's door during takeoff roll.
70543,20110810X53544,Accident,2011,AZ,United States,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-602,1.0,M & J BAILEY INC,0.0,1.0,0.0,0.0,VMC,The pilot's failure to maintain clearance from a tower while maneuvering at low altitude. Contributing to the accident was the recent installation of the unmarked tower.
70546,20110809X15900,Accident,2011,SC,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32RT-300,1.0,ARTHUR THAYER R JR,0.0,0.0,0.0,1.0,VMC,"The pilot's decision to continue the approach and landing at a high airspeed, which resulted in an improper touchdown point and subsequent runway excursion."
70547,20110810X45524,Accident,2011,CO,United States,Non-Fatal,Substantial,Airplane,Cessna,182C,1.0,Fly High Aviation,0.0,1.0,0.0,0.0,VMC,"The malfunction of the throttle linkage to the induction air box, which resulted in a loss of engine power and subsequent forced landing."
70548,20110811X15509,Accident,2011,IN,United States,Non-Fatal,Substantial,Airplane,Cessna,TR182,1.0,BMG AVIATION INC,0.0,0.0,0.0,2.0,VMC,The pilot's failure to extend the landing gear prior to landing.
70553,20110812X65034,Accident,2011,NE,United States,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-400,1.0,WEHRMAN JIM,0.0,0.0,0.0,1.0,VMC,"Failure of the fuel control unit's spool cap bearing for reasons that could not be determined during extensive postaccident examination, and the pilots decision to shut the engine down without sufficient altitude and distance to reach the runway."
70555,20110812X85526,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Beech,35-C33,1.0,BALLARD MICHAEL K,0.0,0.0,0.0,1.0,VMC,The pilot's loss of control while landing with a tailwind due to his misinterpretation of the wind conditions.
70556,20110816X41912,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Piper,PA-11,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's improper decision to land on an unsuitable landing surface which resulted in a nose over.
70557,20110813X60348,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-301,1.0,"Redemption, Inc.",0.0,0.0,0.0,2.0,VMC,"A partial loss of engine power while on approach to land due to a disconnected throttle control linkage, and the maintenance director's inadequate inspection of the throttle linkage during maintenance."
70558,20110814X60630,Accident,2011,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,U206F,1.0,Key West Seaplanes,0.0,1.0,0.0,4.0,VMC,"The pilots decision to take off in high density altitude conditions with the airplane over its maximum gross weight, due to the pilots improper weight and balance calculations, which resulted in the airplanes inability to climb or maintain altitude."
70560,20110813X92613,Accident,2011,WA,United States,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,SACCIO AVIATION LLC,0.0,0.0,0.0,3.0,VMC,"A loss of electrical power while on final approach due to a depleted battery, which resulted in an intentional gear-up emergency landing."
70562,20110814X54118,Accident,2011,WV,United States,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Michael D. Knopp,0.0,0.0,0.0,3.0,VMC,"The flight instructor's unfamiliarity with the geographic area, resulting in controlled flight into terrain."
70564,20110815X24503,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-402,1.0,"L & W Flying Service, Inc.",0.0,0.0,0.0,1.0,VMC,"The pilots failure to maintain airspeed while maneuvering to avoid power lines during a precautionary landing, which resulted an aerodynamic stall. Contributing to the accident was the fluctuating engine power for undetermined reasons and the pilot's preoccupation with the malfunctioning global positioning system."
70566,20110815X40827,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-135,1.0,"Scenic Mountain Air, Inc.",0.0,1.0,0.0,0.0,VMC,"The pilot's inadvertent application of the right brake pedal during the landing roll, which resulted in a nose-over."
70569,20110826X95650,Accident,2011,ND,United States,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-301,1.0,SEMPER FI AVIATION LLC,0.0,0.0,0.0,1.0,VMC,The loss of engine power for reasons that could not be determined because postaccident examination of the airplane and engine did not reveal any anomalies that would have precluded normal operation.
70572,20110810X85728,Accident,2011,CA,United States,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,ARMED FORCES AERO CLUB INC,0.0,0.0,0.0,1.0,VMC,The student pilot's failure to maintain clearance from obstacles while taxiing.
70573,20110814X12005,Accident,2011,CA,United States,Non-Fatal,Substantial,Airplane,Beech,B36TC,1.0,,0.0,0.0,0.0,3.0,VMC,"A loss of engine power during cruise flight due to maintenance personnel's failure to adequately torque the number 4 cylinder retaining nuts, which resulted in the in-flight separation of the cylinder."
70574,20110814X15623,Accident,2011,WY,United States,Fatal,Destroyed,Airplane,Beech,A36,1.0,Robert Dawson,2.0,0.0,0.0,0.0,VMC,The pilots failure to maintain clearance from mountainous terrain.
70575,20110814X63451,Accident,2011,VA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-236,1.0,Av-Ed Flight School,0.0,1.0,0.0,0.0,VMC,The pilots failure to attain the proper touchdown point.
70577,20110815X10520,Accident,2011,ID,United States,Fatal,Substantial,Airplane,Cessna,P210N,1.0,WHITTLE RANDAL,4.0,0.0,0.0,0.0,VMC,"The pilot's failure to attain sufficient altitude and maintain aircraft control during a turn shortly after liftoff while operating at maximum gross weight, with a tailwind, and in high density altitude conditions."
70578,20110815X44012,Accident,2011,KS,United States,Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Alvin R. Wenger,0.0,2.0,0.0,0.0,VMC,"The pilot's failure to maintain adequate airspeed, which resulted in a stall. Contributing to the accident was the pilot's lack of certification to act as a pilot and his lack of recent experience."
70579,20110815X51728,Accident,2011,AK,United States,Fatal,Substantial,Airplane,Cessna,207,1.0,Inland Aviation Services,2.0,0.0,4.0,0.0,IMC,"The pilot's decision to continue visual flight rules flight into instrument meteorological conditions, which resulted in an in-flight collision with mountainous terrain."
70580,20110815X81140,Accident,2011,MO,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-235,1.0,Tab Siddens,0.0,0.0,0.0,1.0,VMC,The pilots failure to maintain directional control during takeoff.
70581,20110816X20541,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Cessna,400,1.0,FLEXAVIATION LLC,0.0,2.0,0.0,0.0,VMC,"A loss of engine power for reasons that could not be determined because postaccident examination of the airframe and engine did not reveal any anomalies that would have precluded normal operation.
."
70582,20110816X41751,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Boeing,A75N1(PT17),1.0,DOYLE LOIS A,0.0,0.0,2.0,0.0,VMC,"The pilots decision to continue the high density altitude takeoff with reduced engine power and his decision to initiate a turn back to the runway with insufficient airspeed, which resulted in an aerodynamic stall."
70583,20110815X62149,Accident,2011,MT,United States,Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,JJ Aviation,2.0,0.0,0.0,0.0,VMC,The pilot's failure to maintain airplane control while maneuvering.
70589,20110816X45819,Accident,2011,MT,United States,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-401,1.0,,0.0,0.0,0.0,1.0,VMC,"The loss of engine power during takeoff due to the fatigue failure of the turbine wheel blades, which resulted from inadequate maintenance and inspections. "
70591,20110816X95236,Accident,2011,AK,United States,Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,STOLTZFUS RICHARD L,2.0,0.0,0.0,0.0,VMC,A collision into water during initial climb after takeoff for undetermined reasons.
70592,20110817X62640,Accident,2011,OK,United States,Non-Fatal,Substantial,Airplane,Cessna,180,1.0,David A. Roberts,0.0,0.0,0.0,1.0,VMC,The pilot's on-ground loss of control during the landing roll upon encountering a sudden wind shift and gust.
70593,20110818X92408,Accident,2011,PA,United States,Non-Fatal,Substantial,Airplane,Mooney,M20R,1.0,JOHN A ROSSI INC,0.0,0.0,0.0,1.0,VMC,"The pilot did not maintain adequate airspeed during a go-around, which resulted in an aerodynamic stall."
70594,20110909X03509,Accident,2011,NE,United States,Non-Fatal,Substantial,Airplane,Cessna,A188,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's loss of directional control during a crosswind takeoff.
70595,20110815X30941,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Piper,PA-31-310,2.0,,0.0,1.0,0.0,0.0,VMC,The explosion and subsequent fire in the airplane for undetermined reasons because an examination of the burned airplane could not identify any preaccident anomolies.
70596,20110817X02017,Accident,2011,MS,United States,Fatal,Substantial,Airplane,Cessna,310Q,2.0,,1.0,0.0,0.0,0.0,VMC,"The pilots delayed reaction in performing the engine failure procedures and his failure to maintain adequate airspeed, which resulted in a loss of airplane control. Contributing to the accident was maintenance personnels improper torquing of the B-nut between the fuel supply hose and the manifold valve."
70599,20110817X74533,Accident,2011,WY,United States,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-602,1.0,,0.0,1.0,0.0,0.0,VMC,The pilot's failure to maintain clearance from power lines during an aerial application flight.
70601,20110818X63753,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-180,1.0,ERIK F. HURSH,0.0,0.0,0.0,1.0,VMC,"The pilot's failure to maintain the proper approach path, which resulted in a runway undershoot."
70605,20120228X03455,Accident,2011,CA,United States,Non-Fatal,Unknown,Airplane,Piper,J3C-65,1.0,BARON FRED N,0.0,0.0,0.0,2.0,VMC,"The unexpected engine start during hand propping, which resulted in a serious injury. Contributing to the accident was the lack of communication between the pilot and the individual hand propping the engine."
70608,20110818X33710,Accident,2011,GA,United States,Non-Fatal,Substantial,Airplane,Beech,B19,1.0,PEDERSON GEORGE M,0.0,0.0,1.0,0.0,VMC,"The student pilot did not retract the wing flaps during a go-around, which decreased the airplanes climb performance and resulted in an in-flight collision with trees."
70609,20110818X51311,Accident,2011,LA,United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,MONROE AIR CENTER LLC,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain aircraft control during takeoff with a gusting crosswind.
70610,20110818X51603,Accident,2011,MT,United States,Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,CYRUS CHAD H DBA,2.0,0.0,0.0,0.0,VMC,"The pilots failure to maintain adequate airspeed while maneuvering, which resulted in a stall/mush, loss of control, and impact with terrain."
70611,20110818X65735,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Piper,PA-20,1.0,RANDY F. STAHL,0.0,0.0,0.0,2.0,VMC,The student pilots decision to take off toward a hill with a gusting tailwind. Contributing was the pilot's premature rotation that prevented the airplane from climbing over the hill.
70616,20110923X61743,Accident,2011,ME,United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-108,1.0,Jeffery Quinn,0.0,0.0,0.0,1.0,VMC,Operation of the airplane by a non-certificated pilot and his failure to maintain airplane control.
70618,20110820X72543,Accident,2011,VA,United States,Non-Fatal,Substantial,Airplane,Piper,PA46,1.0,,0.0,0.0,0.0,2.0,VMC,"An undetermined nose landing gear steering anomaly or anomalies, which resulted in the pilot's inability to maintain directional control of the airplane during the landing rollout. The damage to the nose landing gear precluded a determination of the cause of the nose landing gear anomaly."
70620,20110822X05515,Accident,2011,OR,United States,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,,0.0,2.0,0.0,0.0,VMC,The pilot's failure to maintain clearance from power transmission lines during the landing approach into the sun.
70623,20110820X13018,Accident,2011,PA,United States,Fatal,Substantial,Airplane,Cessna,172M,1.0,TITUSVILLE AEROCLUB INC,2.0,0.0,0.0,0.0,IMC,"The flight instructor's improper decision to attempt a visual descent into instrument meteorological conditions while approaching the destination airport, which resulted in an in-flight collision with trees and terrain."
70625,20110820X52713,Accident,2011,SD,United States,Fatal,Substantial,Airplane,Piper,PA-25-235,1.0,,1.0,0.0,0.0,0.0,VMC,The pilot's collision with terrain for undetermined reasons.
70628,20110822X25654,Accident,2011,AK,United States,Non-Fatal,Substantial,Airplane,Cessna,180A,1.0,WAITMAN BRADLEY J,0.0,0.0,0.0,4.0,VMC,"The pilot's decision to take off in a variable wind, resulting in a shallow climb and collision with terrain."
70634,20110912X14118,Accident,2011,AZ,United States,Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,John Olsen,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain directional control while taxiing.
70636,20110822X11218,Accident,2011,UT,United States,Non-Fatal,Substantial,Airplane,Cessna,182Q,1.0,,0.0,0.0,0.0,3.0,VMC,"The pilots failure to abort the takeoff in a timely manner, which resulted in insufficient altitude to clear obstructions."
70637,20110822X11600,Accident,2011,CA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-31-310,2.0,,0.0,0.0,0.0,3.0,VMC,A total loss of left engine power due to the failure of the aft crankshaft counterweight retaining washer for reasons that could not be determined during postaccident examinations.
70640,20110822X30909,Accident,2011,WI,United States,Non-Fatal,Substantial,Airplane,Cessna,TU206G,1.0,,0.0,1.0,0.0,1.0,VMC,"The pilot's loss of control on final approach, while maneuvering to avoid birds."
70641,20110822X65726,Accident,2011,OR,United States,Fatal,Substantial,Airplane,Maule,M-7-235C,1.0,,1.0,0.0,0.0,0.0,IMC,"The pilots improper decision to continue flight under visual flight rules into instrument meteorological conditions, which resulted in a collision with trees while on approach for landing. "
70642,20110823X00601,Accident,2011,MT,United States,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain directional control during landing.
70643,20110823X01832,Accident,2011,WA,United States,Non-Fatal,Substantial,Airplane,Cirrus Design Corp,SR22,1.0,GERALD BERNSTEIN,0.0,0.0,0.0,2.0,VMC,"The pilot's inadequate approach planning and failure to achieve the proper touchdown point, which resulted in a runway overrun."
70647,20110830X71207,Accident,2011,MI,United States,Fatal,Unknown,Airplane,Boeing,A75N1(PT17),1.0,,1.0,0.0,0.0,2.0,VMC,The wing walkers decision to release his grip of the airplane during an attempted aerial transfer from airplane to helicopter before both aircraft achieved the proper relative positioning for the transfer.
70648,20110810X23506,Accident,2011,TX,United States,Non-Fatal,Substantial,Airplane,Piper,AEROSTAR 601P,2.0,,0.0,0.0,0.0,3.0,VMC,The pilots improper flare which resulted in a hard landing. Contributing to the accident was the pilots improper decision to fly the airplane with a known mechanical deficiency.
70649,20110822X12509,Accident,2011,ID,United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Kevin Hochstetler,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain directional control during landing.
70651,20110823X34211,Accident,2011,CA,United States,Non-Fatal,Substantial,Airplane,Beech,A23-24,1.0,,0.0,0.0,0.0,2.0,VMC,"The students and flight instructors mismanagement of the fuel supply, resulting in a total loss of engine power due to fuel starvation."
